Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-09-28_17:20, 24.625, None, None, 0, None, None, None, None, None, None
2018-09-28_17:21, 24.625, None, None, 0, None, None, None, None, None, None
2018-09-28_17:24, 24.75, None, None, 0, None, None, None, None, None, None
2018-09-28_17:25, 24.8125, None, None, 0, None, None, None, None, None, None
2018-09-28_17:27, 24.75, None, None, 0, None, None, None, None, None, None
2018-09-28_17:28, 24.8125, None, None, 0, None, None, None, None, None, None
2018-09-28_17:29, 24.75, None, None, 0, None, None, None, None, None, None
2018-09-28_17:31, 24.8125, None, None, 0, None, None, None, None, None, None
2018-09-28_17:32, 24.75, None, None, 0, None, None, None, None, None, None
2018-09-28_17:33, 24.75, None, None, 0, None, None, None, None, None, None
2018-09-28_17:35, 24.8125, None, None, 0, None, None, None, None, None, None
2018-09-28_17:36, 24.8125, None, None, 0, None, None, None, None, None, None
2018-09-28_17:37, 24.8125, None, None, 0, None, None, None, None, None, None
2018-10-01_08:53, 22.6875, None, None, 0, None, None, None, None, None, None
2018-10-01_08:56, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-01_08:57, 22.25, None, None, 0, None, None, None, None, None, None
2018-10-01_08:58, 22.3125, None, None, 0, None, None, None, None, None, None
2018-10-01_09:00, 22.3125, None, None, 0, None, None, None, None, None, None
2018-10-01_09:01, 22.3125, None, None, 0, None, None, None, None, None, None
2018-10-01_09:02, 22.3125, None, None, 0, None, None, None, None, None, None
2018-10-01_09:04, 22.3125, None, None, 0, None, None, None, None, None, None
2018-10-01_09:05, 22.4375, None, None, 0, None, None, None, None, None, None
2018-10-01_09:06, 22.4375, None, None, 0, None, None, None, None, None, None
2018-10-01_09:08, 22.375, None, None, 0, None, None, None, None, None, None
2018-10-01_09:09, 22.4375, None, None, 0, None, None, None, None, None, None
2018-10-02_15:15, 24.125, None, None, 0, None, None, None, None, None, None
2018-10-02_15:16, 24.0, None, None, 0, None, None, None, None, None, None
2018-10-02_15:17, 24.0625, None, None, 0, None, None, None, None, None, None
2018-10-02_15:19, 24.0, None, None, 0, None, None, None, None, None, None
2018-10-02_15:20, 23.9375, None, None, 0, None, None, None, None, None, None
2018-10-02_15:21, 23.9375, None, None, 0, None, None, None, None, None, None
2018-10-02_15:23, 23.9375, None, None, 0, None, None, None, None, None, None
2018-10-02_15:24, 23.9375, None, None, 0, None, None, None, None, None, None
2018-10-02_15:25, 23.8125, None, None, 0, None, None, None, None, None, None
2018-10-02_15:27, 23.875, None, None, 0, None, None, None, None, None, None
2018-10-02_15:28, 23.8125, None, None, 0, None, None, None, None, None, None
2018-10-12_16:52, 23.0625, None, None, 0, None, None, None, None, None, None
2018-10-12_16:53, 23.125, None, None, 0, None, None, None, None, None, None
2018-10-12_16:55, 23.0625, None, None, 0, None, None, None, None, None, None
2018-10-12_16:56, 23.125, None, None, 0, None, None, None, None, None, None
2018-10-12_16:57, 23.125, None, None, 0, None, None, None, None, None, None
2018-10-12_16:59, 23.1875, None, None, 0, None, None, None, None, None, None
2018-10-12_17:00, 23.1875, None, None, 0, None, None, None, None, None, None
2018-10-12_17:02, 23.1875, None, None, 0, None, None, None, None, None, None
2018-10-12_17:03, 23.4375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:05, 23.5, None, None, 0, None, None, None, None, None, None
2018-10-12_17:06, 23.375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:07, 23.375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:07, 23.375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:08, 23.375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:09, 23.4375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:10, 23.4375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:10, 23.4375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:11, 23.4375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:11, 23.375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:12, 23.375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:13, 23.375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:14, 23.5, None, None, 0, None, None, None, None, None, None
2018-10-12_17:14, 23.375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:15, 23.5, None, None, 0, None, None, None, None, None, None
2018-10-12_17:15, 23.4375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:16, 23.375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:18, 23.4375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:19, 23.4375, None, None, 0, None, None, None, None, None, None
2018-10-12_17:20, 23.5, None, None, 0, None, None, None, None, None, None
2018-10-16_15:52, None, None, None, None, None, None, None, None, None, None
2018-10-16_15:54, None, None, None, None, None, None, None, None, None, None
