Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-06-14_15:27, 24.25, 400, 0, 3.25, -27.505, 28.21, 3.763, 3.69, 17.529, 65.962
2018-06-14_15:28, 24.1875, 400, 0, 3.27, -26.834, 20.15, 3.763, 3.71, 17.529, 65.962
2018-06-14_15:30, 24.0625, 400, 0, 3.26, -25.25, 28.21, 3.602, 3.719, 24.747, 89.139
2018-06-14_15:31, 24.0, 406, 0, 3.26, -25.95, 28.21, 3.817, 3.7, 17.529, 66.908
2018-06-14_15:32, 24.125, 502, 15, 3.27, -28.888, 24.18, 3.763, 3.671, 17.529, 65.962
2018-06-14_15:34, 24.1875, 400, 0, 3.25, -30.188, 33.04, 3.495, 3.695, 20.623, 72.077
2018-06-14_15:35, 24.1875, 413, 1, 3.25, -19.204, 55.6, 4.355, 3.739, 96.927, 422.117
2018-06-14_15:36, 24.0, 441, 6, 3.27, -23.716, 70.92, 4.57, 3.754, 129.923, 593.748
2018-06-14_15:38, 24.375, 414, 2, 3.25, -27.219, 62.05, 4.731, 3.734, 111.363, 526.858
2018-06-14_15:39, 24.5, 416, 2, 3.25, -26.742, 57.22, 4.624, 3.734, 115.487, 534.012
2018-06-14_15:41, 25.0625, 455, 8, 3.26, -15.371, 54.8, 4.57, 3.71, 77.335, 353.421
2018-06-14_15:42, 24.4375, 445, 6, 3.26, -20.148, 50.77, 4.462, 3.715, 70.117, 312.862
2018-06-14_15:44, 24.5625, 413, 1, 3.25, -19.182, 65.27, 4.516, 3.724, 101.051, 456.346
2018-06-14_15:45, 24.5, 418, 2, 3.26, -23.478, 43.52, 4.677, 3.69, 52.588, 245.954
2018-06-14_15:46, 24.0625, 414, 2, 3.25, -15.371, 73.33, 4.677, 3.749, 125.799, 588.362
2018-06-14_15:48, 24.75, 434, 5, 3.25, -21.206, 66.89, 4.355, 3.749, 108.269, 471.511
