Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-09-26_14:19, 20.875, None, None, 0, None, None, None, None, None, None
2018-09-26_14:19, 20.9375, None, None, 0, None, None, None, None, None, None
2018-09-26_14:25, 20.9375, None, None, 0, None, None, None, None, None, None
2018-09-26_14:26, 21.0, None, None, 0, None, None, None, None, None, None
2018-09-26_14:27, 21.0, None, None, 0, None, None, None, None, None, None
2018-09-26_14:29, 21.0625, None, None, 0, None, None, None, None, None, None
2018-09-26_14:30, 21.125, None, None, 0, None, None, None, None, None, None
2018-09-26_14:31, 21.125, None, None, 0, None, None, None, None, None, None
2018-09-26_14:33, 21.25, None, None, 0, None, None, None, None, None, None
2018-09-26_14:34, 21.25, None, None, 0, None, None, None, None, None, None
2018-09-26_14:35, 21.3125, None, None, 0, None, None, None, None, None, None
2018-09-26_14:37, 21.3125, None, None, 0, None, None, None, None, None, None
2018-09-26_14:38, 21.25, None, None, 0, None, None, None, None, None, None
2018-09-26_15:38, 22.25, None, None, 0, None, None, None, None, None, None
2018-09-26_15:40, 22.25, None, None, 0, None, None, None, None, None, None
2018-09-26_15:40, 22.25, None, None, 0, None, None, None, None, None, None
2018-09-26_15:42, 22.3125, None, None, 0, None, None, None, None, None, None
2018-09-26_15:44, 22.3125, None, None, 0, None, None, None, None, None, None
2018-09-26_15:45, 22.3125, None, None, 0, None, None, None, None, None, None
2018-09-26_15:46, 22.3125, None, None, 0, None, None, None, None, None, None
2018-09-26_15:48, 22.25, None, None, 0, None, None, None, None, None, None
2018-09-26_15:49, 22.25, None, None, 0, None, None, None, None, None, None
2018-09-26_15:51, 22.25, None, None, 0, None, None, None, None, None, None
2018-09-26_15:52, 22.25, None, None, 0, None, None, None, None, None, None
2018-09-26_15:53, 22.1875, None, None, 0, None, None, None, None, None, None
2018-09-26_15:55, 22.1875, None, None, 0, None, None, None, None, None, None
2018-09-26_15:56, 22.125, None, None, 0, None, None, None, None, None, None
2018-09-28_10:13, 21.375, None, None, 0, None, None, None, None, None, None
2018-09-28_10:14, 21.375, None, None, 0, None, None, None, None, None, None
2018-09-28_10:14, 21.375, None, None, 0, None, None, None, None, None, None
2018-09-28_10:15, 21.4375, None, None, 0, None, None, None, None, None, None
2018-09-28_10:16, 21.4375, None, None, 0, None, None, None, None, None, None
2018-09-28_10:18, 21.4375, None, None, 0, None, None, None, None, None, None
2018-09-28_10:19, 21.4375, None, None, 0, None, None, None, None, None, None
2018-09-28_10:21, 21.5, None, None, 0, None, None, None, None, None, None
2018-09-28_10:22, 21.5, None, None, 0, None, None, None, None, None, None
2018-09-28_10:23, 21.625, None, None, 0, None, None, None, None, None, None
2018-09-28_10:25, 21.625, None, None, 0, None, None, None, None, None, None
2018-09-28_10:26, 21.625, None, None, 0, None, None, None, None, None, None
2018-09-28_10:27, 21.6875, None, None, 0, None, None, None, None, None, None
2018-09-28_10:29, 21.75, None, None, 0, None, None, None, None, None, None
2018-09-28_10:30, 21.75, None, None, 0, None, None, None, None, None, None
2018-09-28_10:31, 21.8125, None, None, 0, None, None, None, None, None, None
2018-09-28_10:37, 21.9375, None, None, 0, None, None, None, None, None, None
2018-09-28_10:38, 22.0, None, None, 0, None, None, None, None, None, None
2018-09-28_10:39, 22.0, None, None, 0, None, None, None, None, None, None
2018-09-28_10:39, 21.9375, None, None, 0, None, None, None, None, None, None
2018-09-28_10:40, 22.0, None, None, 0, None, None, None, None, None, None
2018-09-28_10:41, 21.9375, None, None, 0, None, None, None, None, None, None
