Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-08-16_11:14, 22.25, None, None, 0, None, None, None, None, None, None
2018-08-16_11:18, 22.25, None, None, 0, None, None, None, None, None, None
2018-08-16_11:19, 22.25, None, None, 4.32, None, None, None, None, None, None
2018-08-16_11:20, 22.3125, None, None, 0, None, None, None, None, None, None
2018-08-16_14:07, 23.0, None, None, 0, None, None, None, None, None, None
2018-08-16_14:08, 23.0625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:09, 23.0625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:11, 23.0625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:11, 23.0625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:15, 23.1875, None, None, 0, None, None, None, None, None, None
2018-08-16_14:16, 23.125, None, None, 0, None, None, None, None, None, None
2018-08-16_14:17, 23.125, None, None, 0, None, None, None, None, None, None
2018-08-16_14:18, 23.1875, None, None, 0, None, None, None, None, None, None
2018-08-16_14:19, 23.25, None, None, 0, None, None, None, None, None, None
2018-08-16_14:19, 23.25, None, None, 0, None, None, None, None, None, None
2018-08-16_14:20, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:20, 23.3125, None, None, 0, None, None, None, None, None, None
2018-08-16_14:21, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:22, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:23, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:23, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:24, 23.4375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:24, 23.4375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:26, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:26, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:27, 23.5, None, None, 0, None, None, None, None, None, None
2018-08-16_14:27, 23.5625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:30, 23.625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:31, 23.625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:32, 23.6875, None, None, 0, None, None, None, None, None, None
2018-08-16_14:34, 23.75, None, None, 0, None, None, None, None, None, None
2018-08-16_14:35, 23.75, None, None, 0, None, None, None, None, None, None
2018-08-16_14:36, 23.875, None, None, 0, None, None, None, None, None, None
2018-08-16_14:38, 23.875, None, None, 0, None, None, None, None, None, None
